run,game,llm,llm_color,result,move_number,color,move,actor,kind,first_violation_in_game,repeats_positions_after_moves,captured_stones,suicide_stones,log,line
arena_20260718_061501_196878_3d7b72be,18,gpt-5.4-low-api,W,W+12.0,74,W,F8,llm,simple_ko,False,[72],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,18
arena_20260718_061501_196878_3d7b72be,18,gpt-5.4-low-api,W,W+12.0,78,W,F8,llm,simple_ko,False,[76],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,18
arena_20260718_061501_196878_3d7b72be,18,gpt-5.4-low-api,W,W+12.0,92,W,E1,llm,simple_ko,False,"[89, 90]",1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,18
arena_20260718_061501_196878_3d7b72be,20,gpt-5.4-low-api,W,B+41.0,64,W,H9,llm,simple_ko,True,[62],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,20
arena_20260718_061501_196878_3d7b72be,24,gpt-5.4-low-api,W,W+R,86,W,B9,llm,simple_ko,True,[84],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,24
arena_20260718_061501_196878_3d7b72be,24,gpt-5.4-low-api,W,W+R,94,W,A8,llm,simple_ko,False,[92],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,24
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,271,B,G9,llm,simple_ko,True,[269],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,277,B,E2,llm,other_positional_superko,False,[274],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,283,B,E2,llm,other_positional_superko,False,[280],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,287,B,E2,llm,simple_ko,False,[285],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,291,B,E2,llm,simple_ko,False,[289],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,295,B,E2,llm,simple_ko,False,[293],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,299,B,E2,llm,simple_ko,False,[297],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,303,B,E2,llm,simple_ko,False,[301],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,315,B,E2,llm,simple_ko,False,[313],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,325,B,E2,llm,simple_ko,False,[323],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,329,B,E2,llm,simple_ko,False,[327],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,331,B,F8,llm,simple_ko,False,"[327, 329]",1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,25,gpt-5.4-low-api,B,W+7.0,349,B,A4,llm,simple_ko,False,"[346, 347]",1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,25
arena_20260718_061501_196878_3d7b72be,27,gpt-5.4-low-api,B,B+R,11,B,E5,llm,simple_ko,True,[9],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,27
arena_20260718_061501_196878_3d7b72be,30,gpt-5.4-low-api,W,B+74.0,242,W,H1,llm,simple_ko,True,[240],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,30
arena_20260718_061501_196878_3d7b72be,30,gpt-5.4-low-api,W,B+74.0,246,W,H1,llm,simple_ko,False,[244],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,30
arena_20260718_061501_196878_3d7b72be,32,gpt-5.4-low-api,W,B+14.0,70,W,A5,llm,simple_ko,True,[68],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,32
arena_20260718_061501_196878_3d7b72be,32,gpt-5.4-low-api,W,B+14.0,74,W,A5,llm,simple_ko,False,[72],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,32
arena_20260718_061501_196878_3d7b72be,33,gpt-5.4-low-api,B,B+R,73,B,E1,llm,simple_ko,True,[71],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,33
arena_20260718_061501_196878_3d7b72be,35,gpt-5.4-low-api,B,B+R,103,B,D1,llm,other_positional_superko,True,[100],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,35
arena_20260718_061501_196878_3d7b72be,36,gpt-5.4-low-api,W,W+R,72,W,J5,llm,simple_ko,True,[70],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,36
arena_20260718_061501_196878_3d7b72be,40,gpt-5.4-low-api,W,W+R,58,W,D9,llm,simple_ko,True,[56],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,40
arena_20260718_061501_196878_3d7b72be,40,gpt-5.4-low-api,W,W+R,62,W,D9,llm,simple_ko,False,[60],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,40
arena_20260718_061501_196878_3d7b72be,40,gpt-5.4-low-api,W,W+R,76,W,B6,llm,simple_ko,False,[74],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,40
arena_20260718_061501_196878_3d7b72be,40,gpt-5.4-low-api,W,W+R,94,W,J1,llm,simple_ko,False,[92],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,40
arena_20260718_061501_196878_3d7b72be,41,gpt-5.4-low-api,B,W+88.0,61,B,H9,llm,simple_ko,True,[59],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,41
arena_20260718_061501_196878_3d7b72be,41,gpt-5.4-low-api,B,W+88.0,65,B,H9,llm,simple_ko,False,[63],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,41
arena_20260718_061501_196878_3d7b72be,44,gpt-5.4-low-api,W,W+R,98,W,J9,llm,simple_ko,True,[96],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,44
arena_20260718_061501_196878_3d7b72be,44,gpt-5.4-low-api,W,W+R,276,W,A6,llm,simple_ko,False,[274],1,0,log/arena_20260718_061501_196878_3d7b72be/llm_games.jsonl,44
arena_20260723_001746_534175_faf8daad,11,gemini-3.6-flash-high-api,B,W+22.0,57,B,D9,llm,other_positional_superko,True,[54],1,0,log/arena_20260723_001746_534175_faf8daad/llm_games.jsonl,11
arena_20260723_001746_534175_faf8daad,11,gemini-3.6-flash-high-api,B,W+22.0,95,B,J3,llm,other_positional_superko,False,[92],1,0,log/arena_20260723_001746_534175_faf8daad/llm_games.jsonl,11
arena_20260723_001746_534175_faf8daad,19,gemini-3.6-flash-high-api,B,B+2.0,51,B,H5,llm,simple_ko,True,[49],1,0,log/arena_20260723_001746_534175_faf8daad/llm_games.jsonl,19
arena_20260723_001746_534175_faf8daad,19,gemini-3.6-flash-high-api,B,B+2.0,55,B,H5,llm,simple_ko,False,[53],1,0,log/arena_20260723_001746_534175_faf8daad/llm_games.jsonl,19
arena_20260723_001746_534175_faf8daad,19,gemini-3.6-flash-high-api,B,B+2.0,81,B,A5,llm,simple_ko,False,[79],1,0,log/arena_20260723_001746_534175_faf8daad/llm_games.jsonl,19
arena_20260723_001746_534175_faf8daad,19,gemini-3.6-flash-high-api,B,B+2.0,89,B,A5,llm,simple_ko,False,[87],1,0,log/arena_20260723_001746_534175_faf8daad/llm_games.jsonl,19
arena_20260723_001746_534175_faf8daad,19,gemini-3.6-flash-high-api,B,B+2.0,93,B,A5,llm,simple_ko,False,[91],1,0,log/arena_20260723_001746_534175_faf8daad/llm_games.jsonl,19
arena_20260723_001746_534175_faf8daad,19,gemini-3.6-flash-high-api,B,B+2.0,111,B,J4,llm,other_positional_superko,False,[108],1,0,log/arena_20260723_001746_534175_faf8daad/llm_games.jsonl,19
arena_20260723_173702_334483_0c232340,18,gemini-3.1-pro-high-api,W,B+74.0,82,W,H1,llm,simple_ko,True,[80],1,0,log/arena_20260723_173702_334483_0c232340/llm_games.jsonl,18
arena_20260723_173702_334483_0c232340,18,gemini-3.1-pro-high-api,W,B+74.0,88,W,H1,llm,simple_ko,False,[86],1,0,log/arena_20260723_173702_334483_0c232340/llm_games.jsonl,18
arena_20260723_205921_431630_42e71474,4,gpt5.6-sol-low-api,W,W+R,54,W,A3,llm,simple_ko,True,[52],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,4
arena_20260723_205921_431630_42e71474,4,gpt5.6-sol-low-api,W,W+R,62,W,C1,llm,simple_ko,False,[60],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,4
arena_20260723_205921_431630_42e71474,4,gpt5.6-sol-low-api,W,W+R,66,W,C1,llm,simple_ko,False,[64],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,4
arena_20260723_205921_431630_42e71474,4,gpt5.6-sol-low-api,W,W+R,70,W,C1,llm,simple_ko,False,[68],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,4
arena_20260723_205921_431630_42e71474,4,gpt5.6-sol-low-api,W,W+R,74,W,C1,llm,simple_ko,False,[72],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,4
arena_20260723_205921_431630_42e71474,4,gpt5.6-sol-low-api,W,W+R,78,W,C1,llm,simple_ko,False,[76],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,4
arena_20260723_205921_431630_42e71474,4,gpt5.6-sol-low-api,W,W+R,82,W,C1,llm,simple_ko,False,[80],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,4
arena_20260723_205921_431630_42e71474,4,gpt5.6-sol-low-api,W,W+R,86,W,C1,llm,simple_ko,False,[84],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,4
arena_20260723_205921_431630_42e71474,8,gpt5.6-sol-low-api,W,B+74.0,66,W,G9,llm,simple_ko,True,[64],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,8
arena_20260723_205921_431630_42e71474,10,gpt5.6-sol-low-api,W,B+74.0,82,W,J1,llm,simple_ko,True,[80],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,10
arena_20260723_205921_431630_42e71474,10,gpt5.6-sol-low-api,W,B+74.0,106,W,A1,llm,simple_ko,False,[104],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,10
arena_20260723_205921_431630_42e71474,10,gpt5.6-sol-low-api,W,B+74.0,110,W,A1,llm,simple_ko,False,[108],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,10
arena_20260723_205921_431630_42e71474,10,gpt5.6-sol-low-api,W,B+74.0,118,W,A1,llm,simple_ko,False,[116],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,10
arena_20260723_205921_431630_42e71474,15,gpt5.6-sol-low-api,B,B+1.0,47,B,A7,llm,simple_ko,True,[45],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,15
arena_20260723_205921_431630_42e71474,16,gpt5.6-sol-low-api,W,B+12.0,54,W,A6,llm,simple_ko,True,[52],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,16
arena_20260723_205921_431630_42e71474,16,gpt5.6-sol-low-api,W,B+12.0,58,W,A6,llm,simple_ko,False,[56],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,16
arena_20260723_205921_431630_42e71474,16,gpt5.6-sol-low-api,W,B+12.0,62,W,A6,llm,simple_ko,False,[60],1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,16
arena_20260723_205921_431630_42e71474,16,gpt5.6-sol-low-api,W,B+12.0,64,W,C9,llm,simple_ko,False,"[60, 62]",1,0,log/arena_20260723_205921_431630_42e71474/llm_games.jsonl,16
arena_20260724_053334_256504_92b016a9,7,gpt5.6-sol-high-api,B,B+R,77,B,H9,llm,simple_ko,True,[75],1,0,log/arena_20260724_053334_256504_92b016a9/llm_games.jsonl,7
arena_20260724_053334_256504_92b016a9,7,gpt5.6-sol-high-api,B,B+R,85,B,H9,llm,simple_ko,False,[83],1,0,log/arena_20260724_053334_256504_92b016a9/llm_games.jsonl,7
arena_20260724_053334_256504_92b016a9,11,gpt5.6-sol-high-api,B,W+10.0,87,B,C2,llm,other_positional_superko,True,[84],0,0,log/arena_20260724_053334_256504_92b016a9/llm_games.jsonl,11
arena_20260724_053334_256504_92b016a9,12,gpt5.6-sol-high-api,W,W+R,72,W,A2,llm,simple_ko,True,[70],1,0,log/arena_20260724_053334_256504_92b016a9/llm_games.jsonl,12
arena_20260724_053334_256504_92b016a9,12,gpt5.6-sol-high-api,W,W+R,76,W,A2,llm,simple_ko,False,[74],1,0,log/arena_20260724_053334_256504_92b016a9/llm_games.jsonl,12
arena_20260730_235227_254687_84a63641,4,opus-5-high-api,W,W+4.0,58,W,A2,llm,simple_ko,True,[56],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,4
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,78,W,G5,llm,simple_ko,True,[76],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,80,W,A9,llm,simple_ko,False,"[76, 78]",1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,84,W,G5,llm,simple_ko,False,[82],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,88,W,G5,llm,simple_ko,False,[86],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,92,W,G5,llm,simple_ko,False,[90],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,96,W,G5,llm,simple_ko,False,[94],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,100,W,G5,llm,simple_ko,False,[98],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,104,W,G5,llm,simple_ko,False,[102],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,108,W,G5,llm,simple_ko,False,[106],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,112,W,G5,llm,simple_ko,False,[110],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,116,W,G5,llm,simple_ko,False,[114],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,120,W,G5,llm,simple_ko,False,[118],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,124,W,G5,llm,simple_ko,False,[122],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,128,W,G5,llm,simple_ko,False,"[125, 126]",1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,132,W,G5,llm,simple_ko,False,[130],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260730_235227_254687_84a63641,14,opus-5-high-api,W,B+74.0,136,W,G5,llm,simple_ko,False,[134],1,0,log/arena_20260730_235227_254687_84a63641/llm_games.jsonl,14
arena_20260731_044901_270838_7068701f,1,grok-4.5-high-api,B,B+R,27,B,C3,llm,simple_ko,True,[25],1,0,log/arena_20260731_044901_270838_7068701f/llm_games.jsonl,1
arena_20260731_044901_270838_7068701f,1,grok-4.5-high-api,B,B+R,87,B,A5,llm,other_positional_superko,False,[84],1,0,log/arena_20260731_044901_270838_7068701f/llm_games.jsonl,1
arena_20260731_044901_270838_7068701f,5,grok-4.5-high-api,B,B+2.0,73,B,J9,llm,simple_ko,True,[71],1,0,log/arena_20260731_044901_270838_7068701f/llm_games.jsonl,5
arena_20260731_044901_270838_7068701f,7,grok-4.5-high-api,B,W+88.0,77,B,J8,llm,other_positional_superko,True,[74],1,0,log/arena_20260731_044901_270838_7068701f/llm_games.jsonl,7
arena_20260731_044901_270838_7068701f,7,grok-4.5-high-api,B,W+88.0,119,B,G8,llm,simple_ko,False,[117],1,0,log/arena_20260731_044901_270838_7068701f/llm_games.jsonl,7
arena_20260731_044901_270838_7068701f,12,grok-4.5-high-api,W,W+12.0,36,W,H9,llm,simple_ko,True,[34],1,0,log/arena_20260731_044901_270838_7068701f/llm_games.jsonl,12
arena_20260731_044901_270838_7068701f,13,grok-4.5-high-api,B,W+6.0,97,B,A9,llm,simple_ko,True,[95],1,0,log/arena_20260731_044901_270838_7068701f/llm_games.jsonl,13
arena_20260807_184513_963568_b2aa1679,8,DeepSeek-V4-Flash-0731-high-api,W,B+74.0,66,W,E6,llm,simple_ko,True,[64],1,0,log/arena_20260807_184513_963568_b2aa1679/llm_games.jsonl,6
arena_20260807_184513_963568_b2aa1679,8,DeepSeek-V4-Flash-0731-high-api,W,B+74.0,70,W,E6,llm,simple_ko,False,[68],1,0,log/arena_20260807_184513_963568_b2aa1679/llm_games.jsonl,6
arena_20260807_223534_789082_9ae5a490,4,kimi-k3-high-api,W,W+R,68,W,E1,llm,simple_ko,True,[66],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,4
arena_20260807_223534_789082_9ae5a490,4,kimi-k3-high-api,W,W+R,76,W,J1,llm,simple_ko,False,[74],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,4
arena_20260807_223534_789082_9ae5a490,4,kimi-k3-high-api,W,W+R,84,W,J1,llm,simple_ko,False,[82],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,4
arena_20260807_223534_789082_9ae5a490,4,kimi-k3-high-api,W,W+R,88,W,J1,llm,simple_ko,False,[86],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,4
arena_20260807_223534_789082_9ae5a490,15,muse-spark-1.2-openrouter-high-api,B,W+88.0,75,B,C1,llm,simple_ko,True,[73],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,13
arena_20260807_223534_789082_9ae5a490,15,muse-spark-1.2-openrouter-high-api,B,W+88.0,79,B,C1,llm,simple_ko,False,[77],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,13
arena_20260807_223534_789082_9ae5a490,15,muse-spark-1.2-openrouter-high-api,B,W+88.0,83,B,C1,llm,simple_ko,False,[81],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,13
arena_20260807_223534_789082_9ae5a490,15,muse-spark-1.2-openrouter-high-api,B,W+88.0,87,B,C1,llm,simple_ko,False,[85],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,13
arena_20260807_223534_789082_9ae5a490,15,muse-spark-1.2-openrouter-high-api,B,W+88.0,107,B,J7,llm,other_positional_superko,False,[104],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,13
arena_20260807_223534_789082_9ae5a490,16,muse-spark-1.2-openrouter-high-api,W,B+74.0,106,W,H1,llm,other_positional_superko,True,[103],0,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,14
arena_20260807_223534_789082_9ae5a490,20,muse-spark-1.2-openrouter-high-api,W,B+6.0,58,W,B3,llm,simple_ko,True,[56],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,18
arena_20260807_223534_789082_9ae5a490,22,kimi-k3-high-api,W,B+12.0,66,W,A8,llm,simple_ko,True,[64],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,24
arena_20260807_223534_789082_9ae5a490,22,kimi-k3-high-api,W,B+12.0,72,W,A8,llm,simple_ko,False,[70],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,24
arena_20260807_223534_789082_9ae5a490,27,kimi-k3-high-api,B,B+R,45,B,A5,llm,simple_ko,True,[43],1,0,log/arena_20260807_223534_789082_9ae5a490/llm_games.jsonl,25
arena_20260816_235957_455970_01f2f68b,3,gpt5.6-sol-low-codex-single,B,B+6.0,61,B,H9,llm,simple_ko,True,[59],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,3
arena_20260816_235957_455970_01f2f68b,3,gpt5.6-sol-low-codex-single,B,B+6.0,65,B,H9,llm,simple_ko,False,[63],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,3
arena_20260816_235957_455970_01f2f68b,5,gpt5.6-sol-low-codex-single,B,W+14.0,35,B,D1,llm,simple_ko,True,[33],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,5
arena_20260816_235957_455970_01f2f68b,5,gpt5.6-sol-low-codex-single,B,W+14.0,39,B,D1,llm,simple_ko,False,[37],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,5
arena_20260816_235957_455970_01f2f68b,5,gpt5.6-sol-low-codex-single,B,W+14.0,43,B,D1,llm,simple_ko,False,[41],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,5
arena_20260816_235957_455970_01f2f68b,9,gpt5.6-sol-low-codex-single,B,W+18.0,57,B,H1,llm,simple_ko,True,[55],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,9
arena_20260816_235957_455970_01f2f68b,10,gpt5.6-sol-low-codex-single,W,B+40.0,62,W,J4,llm,simple_ko,True,[60],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,10
arena_20260816_235957_455970_01f2f68b,10,gpt5.6-sol-low-codex-single,W,B+40.0,66,W,J4,llm,simple_ko,False,[64],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,10
arena_20260816_235957_455970_01f2f68b,10,gpt5.6-sol-low-codex-single,W,B+40.0,72,W,J4,llm,simple_ko,False,[70],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,10
arena_20260816_235957_455970_01f2f68b,10,gpt5.6-sol-low-codex-single,W,B+40.0,76,W,J4,llm,simple_ko,False,[74],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,10
arena_20260816_235957_455970_01f2f68b,10,gpt5.6-sol-low-codex-single,W,B+40.0,80,W,J4,llm,simple_ko,False,[78],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,10
arena_20260816_235957_455970_01f2f68b,10,gpt5.6-sol-low-codex-single,W,B+40.0,84,W,J4,llm,simple_ko,False,[82],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,10
arena_20260816_235957_455970_01f2f68b,10,gpt5.6-sol-low-codex-single,W,B+40.0,88,W,J4,llm,simple_ko,False,[86],1,0,log/arena_20260816_235957_455970_01f2f68b/llm_games.jsonl,10
